omop_id,biolink_id
22274,UMLS:C0496912
22281,MONDO:0011382
22288,MONDO:0008165
22340,MONDO:0021644
22350,HP:0012027
22426,MONDO:0013300
22492,UMLS:C0161010
22557,MONDO:0004724
22665,UMLS:C0267311
22666,UMLS:C0401158
22839,UMLS:C0349040
22856,UMLS:C0154222
22871,UMLS:C0496946
22955,UMLS:C0014860
23034,HP:0001998
23137,UMLS:C0149965
23164,MONDO:0024468
23220,MONDO:0001039
23237,UMLS:C0267290
23245,UMLS:C0239293
23247,UMLS:C0267306
23304,HP:0000465
23325,MONDO:0007186
23358,UMLS:C0273292
23567,MONDO:0007233
23653,UMLS:C0149532
23731,MONDO:0002354
23789,SNOMEDCT:195835003
23798,MONDO:0001218
23799,UMLS:C0155844
23806,UMLS:C0155956
23808,UMLS:C0267316
23865,UMLS:C0266120
23868,HP:0002031
23986,MONDO:0003381
23988,UMLS:C0472743
24006,MONDO:0016669
24134,HP:0030833
24148,UMLS:C0392485
24198,UMLS:C0475003
24230,UMLS:C0161011
24296,UMLS:C1367862
24602,MONDO:0021459
24609,MONDO:0004946
24612,MONDO:0019003
24660,MONDO:0020686
24818,UMLS:C0027531
24884,UMLS:C0154044
24897,MONDO:0004696
24909,MONDO:0019350
24966,MONDO:0001221
24969,MONDO:0002647
24970,MONDO:0001369
24973,UMLS:C0267317
24974,MONDO:0001305
24977,MONDO:0001600
24978,UMLS:C0396024
25056,HP:0000464
25068,UMLS:C0344572
25189,MONDO:0005515
25211,UMLS:C0154198
25297,MONDO:0020600
25486,UMLS:C1304866
25518,UMLS:C0037054
25568,UMLS:C1290744
25572,MONDO:0001142
25582,MONDO:0008586
25748,UMLS:C0349048
25780,MONDO:0006909
25844,MONDO:0003749
25965,UMLS:C0273300
26052,UMLS:C1299291
26060,MONDO:0021513
26069,UMLS:C0154216
26286,UMLS:C0273982
26361,UMLS:C1306640
26378,MONDO:0006793
26441,UMLS:C0236127
26459,MONDO:0001409
26514,MONDO:0007880
26638,UMLS:C1300083
26662,UMLS:C0271622
26711,UMLS:C0155825
26718,UMLS:C0267293
26719,MONDO:0000263
26727,HP:0002248
26823,UMLS:C2315800
26847,UMLS:C0438318
26908,MONDO:0006865
26935,UMLS:C0405581
26942,UMLS:C0238425
27017,UMLS:C1290739
27026,UMLS:C0267295
27137,UMLS:C0273284
27235,UMLS:C1306089
27321,UMLS:C0152165
27411,SNOMEDCT:65029007
27419,UMLS:C0273291
27438,UMLS:C0162286
27516,UMLS:C0027634
27587,UMLS:C0012765
27674,HP:0002017
27826,UMLS:C1263949
27835,UMLS:C0496944
27918,MONDO:0005361
28060,MONDO:0021783
28083,UMLS:C1305879
28109,MONDO:0004708
28115,UMLS:C0154043
28127,MONDO:0007540
28179,UMLS:C0155851
28248,UMLS:C2363280
28281,UMLS:C0273299
28356,UMLS:C0349047
28385,UMLS:C0751438
28396,MONDO:0003689
28403,UMLS:C0405578
28457,HP:0030812
28461,UMLS:C0020569
28462,UMLS:C0036094
28714,UMLS:C1263954
28716,UMLS:C0347861
28779,MONDO:0021645
28898,UMLS:C0273295
28974,MONDO:0001648
29056,MONDO:0006969
29735,MONDO:0005886
29783,MONDO:0015974
29979,UMLS:C0273433
30061,UMLS:C0154096
30124,HP:0005945
30133,MONDO:0004777
30163,UMLS:C0157697
30234,UMLS:C0027535
30284,MONDO:0008015
30333,UMLS:C0149966
30346,UMLS:C1304846
30356,MONDO:0021523
30361,MONDO:0004946
30365,MONDO:0019591
30437,UMLS:C0677659
30439,UMLS:C0267292
30441,MONDO:0006970
30515,UMLS:C1963580
30678,MONDO:0017169
30679,MONDO:0021492
30683,UMLS:C0272078
30753,MONDO:0001409
30770,UMLS:C0267301
30968,MONDO:0004782
30969,UMLS:C0154215
30978,MONDO:0000984
31057,MONDO:0020592
31317,HP:0002015
31335,UMLS:C0267289
31339,UMLS:C1290741
31386,MONDO:0008397
31509,UMLS:C1299309
31597,MONDO:0000263
31598,UMLS:C0155829
31601,UMLS:C0155813
31602,MONDO:0004382
31609,UMLS:C0155957
31610,MONDO:0003749
31668,UMLS:C0158512
31720,UMLS:C0160549
31821,MONDO:0005151
31884,UMLS:C0155966
31967,HP:0002018
72245,UMLS:C0348904
72266,UMLS:C0153678
72332,MONDO:0002006
72374,UMLS:C0426067
72377,HP:0011413
72378,UMLS:C0405007
72390,UMLS:C0405303
72398,MONDO:0002074
72401,MONDO:0005610
72403,UMLS:C0263841
72404,HP:0001387
72405,UMLS:C0409939
72407,UMLS:C0158150
72410,MONDO:0005246
72413,UMLS:C0158363
72415,UMLS:C0554601
72418,MONDO:0005392
72421,MONDO:0019372
72434,HP:4000037
72457,SNOMEDCT:81425005
72459,UMLS:C0159619
